fire_location_latitude,fire_location_longitude,fire_start_date,weather_conditions_over_fire,temperature,relative_humidity,wind_speed
53.379383,-116.4373,2006-07-04 14:00:00,CB Dry,33,13,5
57.536,-111.725,2006-06-18 14:01:00,Cloudy,20,50,5
56.998,-110.836667,2006-06-17 20:35:00,Cloudy,27,52,3
54.272164,-118.879939,2006-07-03 21:00:00,Clear,28,27,5
53.561129,-119.636335,2006-07-04 15:15:00,Cloudy,24,20,14
56.43195,-118.695533,2006-07-02 15:00:00,Cloudy,26,31,1
53.389267,-117.235367,2006-07-04 16:00:00,Clear,20,20,5
51.67925,-115.259333,2006-07-10 00:00:00,Cloudy,25,29,0
56.02985,-113.744933,2006-07-15 18:00:00,Cloudy,15,80,5
56.658,-115.394333,2006-07-09 13:00:00,Clear,27,45,4
53.334333,-116.775333,2006-07-03 15:40:00,Cloudy,20,35,5
52.433333,-116.177,2006-07-15 00:00:00,Clear,21,35,7
55.10118,-117.184807,2006-07-16 14:00:00,Cloudy,19,45,15
56.2775,-111.404333,2006-07-01 01:25:00,Clear,14.5,55,15
52.87795,-116.897317,2006-07-16 09:00:00,Cloudy,25,55,0
52.805062,-115.955656,2006-07-04 15:45:00,Clear,17,40,10
52.814267,-114.877283,2006-07-02 02:00:00,Clear,32,18,0
57.1545,-112.3785,2006-07-05 17:57:00,CB Wet,19,35,15
49.58843,-114.44279,2006-07-16 00:00:00,Clear,20,30,30
52.5996,-115.829583,2006-07-17 13:40:00,Cloudy,21,35,0
52.773717,-115.9133,2006-07-04 17:00:00,Rainshowers,28,25,15
54.03194,-115.555827,2006-07-02 12:00:00,Clear,25,25,0
58.002317,-112.606217,2006-06-27 09:32:00,Cloudy,29,26,33
53.803567,-115.705833,2006-07-24 15:45:00,Cloudy,22,56,10
57.190667,-110.567667,2006-06-18 17:39:00,Cloudy,19,43,15
51.165717,-114.911567,2006-07-31 22:00:00,Clear,4,80,5
52.794125,-115.889379,2006-07-04 15:00:00,Clear,20,40,10
54.046283,-117.874033,2006-07-24 18:00:00,Cloudy,24,40,10
52.709033,-116.4315,2006-07-06 20:45:00,Cloudy,17,31,0
54.717383,-119.38325,2006-07-03 17:45:00,Cloudy,10,65,25
56.166167,-113.257667,2006-07-18 12:04:00,Rainshowers,16,70,0
55.256283,-117.340133,2006-08-01 14:30:00,Cloudy,19,40,15
50.729367,-114.690783,2006-07-20 21:00:00,Clear,10,40,5
55.74505,-116.382433,2005-11-15 15:00:00,Clear,14,25,10
55.538567,-116.68675,2006-08-24 18:00:00,Clear,19,40,15
53.575481,-116.50988,2006-08-25 08:30:00,Clear,20,30,5
52.8665,-116.948667,2006-08-24 16:00:00,Clear,24,50,0
49.213367,-114.226967,2006-08-19 14:00:00,Clear,24,28,5
55.04323,-118.856897,2006-08-13 12:00:00,Clear,10,67,7
56.943233,-112.016033,2006-08-25 18:00:00,Clear,21,36,10
54.335667,-116.684333,2006-07-31 14:23:00,Cloudy,22,40,15
53.9696,-118.51255,2006-08-26 15:55:00,Clear,19,25,5
54.42305,-114.483033,2006-08-26 12:00:00,Clear,28,30,15
53.969517,-118.512417,2006-08-26 15:55:00,Clear,19,25,5
53.77555,-115.713367,2006-08-23 20:00:00,Clear,21,40,0
57.0904,-113.739667,2006-07-04 17:00:00,Cloudy,26,30,15
57.01975,-113.658117,2006-07-04 16:05:00,CB Wet,12,100,10
54.3199,-117.99165,2006-07-04 16:55:00,Clear,25,26,15
53.157383,-116.228433,2006-07-03 17:00:00,Cloudy,23,40,5
58.262002,-116.03277,2006-07-04 02:00:00,Cloudy,28,40,5
58.419667,-117.501833,2006-07-04 18:15:00,Clear,27,60,0
52.953483,-116.50225,2006-07-03 20:00:00,Cloudy,20,50,4
57.01775,-118.232667,2006-07-02 21:49:00,Clear,24.5,46,7
52.576017,-115.06295,2006-07-04 12:00:00,Cloudy,30,33,2
51.7968,-115.343417,2006-07-04 15:30:00,CB Wet,12,30,15
54.401642,-116.54555,2006-07-04 19:15:00,CB Dry,26,25,10
57.398333,-113.350217,2006-07-04 18:46:00,Clear,27.5,38,13
54.223333,-116.9825,2006-07-04 20:00:00,CB Dry,25,30,10
54.176217,-117.007667,2006-07-04 19:58:00,Cloudy,22,45,5
